full_name;age;height_cm;weight_kgs;positions;nationality;potential;value_euro;finishing;short_passing;dribbling;freekick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility
Riccardo Meggiorini;33;182.88;78.0;ST;Italy;73;3200000.0;72;70;74;60;54;73;75;66;78
Niko Bungert;32;187.96;74.8;CB;Germany;73;2700000.0;35;68;44;48;60;55;42;45;53
Christian Kouamé;21;185.42;69.9;ST,CF;Ivory Coast;87;9000000.0;75;68;73;45;52;72;82;84;72
Francisco Javier Meza Palma;27;182.88;73.0;CB;Colombia;76;4200000.0;41;65;59;40;67;65;66;67;61
Ángelo Henríquez;24;175.26;73.0;ST;Chile;76;5000000.0;76;62;69;56;57;68;73;76;71
Nélson Miguel Castro Oliveira;27;185.42;82.1;ST;Portugal;73;4400000.0;74;69;71;47;55;73;64;75;68
Emanuele Terranova;32;185.42;86.2;CB;Italy;73;2700000.0;21;54;43;22;53;48;67;68;62
Renaud Emond;27;185.42;73.0;ST;Belgium;74;4800000.0;78;62;60;66;33;67;65;69;65
Gary Hooper;31;175.26;71.2;ST;England;73;3900000.0;77;72;65;50;48;73;66;66;67
Luke Anthony Freeman;26;172.72;73.0;LM,CAM;England;74;4700000.0;65;71;76;69;67;71;78;76;86
Luís Miguel Vieira da Silva;28;190.5;79.8;CB;Portugal;74;3800000.0;24;59;35;26;42;64;56;56;45
Andrea Rispoli;30;187.96;83.0;RB,RM;Italy;73;3000000.0;68;68;69;49;68;73;81;83;73
Nicolás Gastón Navarro;33;190.5;87.1;GK;Argentina;73;2000000.0;17;35;19;20;22;27;50;54;58
Alexander Nahuel Barboza Ullúa;23;193.04;88.0;CB;Argentina;78;4500000.0;27;65;55;26;58;63;44;46;42
Alexandru Iulian Maxim;28;152.4;73.0;CAM,CM,LM;Romania;73;4200000.0;63;70;80;72;70;74;77;55;87
Ola John;26;152.4;72.1;LM,RM;Netherlands;74;4700000.0;62;74;78;69;65;76;79;75;70
Alex Smithies;29;187.96;88.0;GK;England;75;3300000.0;11;30;14;11;15;23;59;59;33
Pablo César Barrientos;34;175.26;68.9;CAM,CM,LM;Argentina;73;2400000.0;60;75;75;77;73;74;61;61;77
Fabián Andrés Rinaudo;31;175.26;73.9;CM,CDM,CB;Argentina;73;3400000.0;58;77;69;53;76;70;73;65;71
Luca Mazzitelli;23;187.96;76.2;CM,CDM;Italy;78;5500000.0;40;76;71;45;75;76;66;55;61
Eduardo Antônio Machado Teixeira;25;152.4;71.2;CM,CAM;Brazil;76;4900000.0;63;77;73;66;71;75;64;63;66
Giampaolo Pazzini;34;154.94;78.0;ST;Italy;73;2500000.0;82;65;65;40;40;72;65;61;71
Abdoulaye Bamba;28;182.88;72.1;RB,LB,RWB;Ivory Coast;73;3200000.0;28;69;61;49;65;69;79;79;78
Arturo Mina;28;190.5;83.9;CB;Ecuador;74;3800000.0;30;68;47;41;57;61;52;50;38
Ibrahima Mbaye;24;187.96;69.9;RB,LB;Senegal;80;4700000.0;35;72;68;55;64;70;68;76;71
Mahmut Tekdemir;31;152.4;68.0;CDM,CB;Turkey;73;3000000.0;53;75;67;48;70;73;66;59;68
Leonardo Fabián Burián Castro;35;187.96;81.2;GK;Uruguay;73;1600000.0;15;37;13;15;35;33;40;42;68
Michel David Cruceiro Muscato;27;185.42;82.1;CDM,CM;Brazil;73;3500000.0;53;74;62;71;69;71;58;61;59
Ricardo Jorge Vaz Té;32;187.96;79.8;ST;Portugal;73;3600000.0;74;66;68;57;58;71;78;74;77
Yeison Stiven Gordillo Vargas;26;175.26;73.0;CDM,CM;Colombia;78;4400000.0;32;73;57;36;65;69;69;55;71
Gino Peruzzi;26;152.4;71.2;RB;Argentina;76;4099999.9999999995;38;69;68;50;66;69;79;82;73
汉超于;32;152.4;64.9;LM,RM;China PR;73;3500000.0;65;74;74;55;60;73;75;79;80
Keiren Westwood;34;187.96;86.2;GK;Republic of Ireland;73;2000000.0;11;28;20;12;23;22;50;45;58
Evandro Sérgio Rochedo Paulino;35;187.96;82.1;ST;Brazil;73;2100000.0;75;64;70;72;55;74;58;56;59
Daniel Pacheco Lobato;28;167.64000000000001;64.9;LM;Spain;73;4200000.0;71;76;77;80;74;77;72;70;85
Antonio Ríos Martínez;30;172.72;74.8;CDM,CM;Mexico;73;3100000.0;39;73;55;60;70;68;66;65;63
Deniz Kadah;33;187.96;79.8;CAM,ST;Turkey;73;3100000.0;74;72;70;60;66;74;63;67;66
Adama Diakhaby;22;187.96;73.9;RM,LM,ST;France;78;5500000.0;75;72;77;39;55;67;89;87;86
Juan Carlos Martín Corral;31;187.96;82.1;GK;Spain;73;2600000.0;14;25;13;12;27;22;58;61;56
Isaac Success;23;182.88;89.8;ST,RM,LM;Nigeria;80;5500000.0;69;68;77;54;55;79;75;84;68
Salem Al Dawsari;27;175.26;68.0;LM,RM,CM;Saudi Arabia;73;4300000.0;68;65;78;60;60;72;85;83;82
Aras Özbiliz;28;175.26;72.1;RW;Armenia;73;4000000.0;72;74;76;80;70;76;79;77;82
Geovanni Banguera;23;187.96;79.8;GK;Colombia;82;4700000.0;16;13;11;12;23;14;40;45;44
Karl-Johan Johnsson;29;187.96;83.9;GK;Sweden;74;3200000.0;13;26;16;11;38;22;50;49;45
Uğur Demirok;30;190.5;84.8;CB;Turkey;73;3100000.0;42;64;57;22;68;58;51;39;48
Nana Kwesi Asare;32;172.72;66.2;LB,CB;Ghana;73;2600000.0;48;70;73;63;67;71;73;71;78
Manuel Pucciarelli;27;175.26;64.0;ST,CF;Italy;74;4700000.0;74;72;77;39;58;76;90;78;90
Diego Santiago Fagúndez Pepe;24;172.72;64.0;CAM,LM,CM;Uruguay;77;5000000.0;68;71;78;65;63;70;80;75;88
William Troost-Ekong;25;190.5;82.1;CB;Nigeria;77;4400000.0;23;54;37;26;52;50;65;73;34
Paulo José de Oliveira;32;175.26;74.8;LW;Brazil;73;3100000.0;72;66;76;71;52;75;79;72;79
Juan Marcos Foyth;21;187.96;68.9;CB;Argentina;85;6500000.0;43;73;66;47;49;73;71;71;72
Martin Linnes;27;152.4;72.1;RB,LB;Norway;73;3400000.0;57;68;72;38;62;73;86;87;82
Sérgio Antônio Soler Oliveira Jr;24;154.94;82.1;ST,CAM;Brazil;78;5500000.0;76;78;72;71;70;73;68;69;62
Hélder Filipe Oliveira Lopes;30;152.4;66.2;LB;Portugal;73;3000000.0;52;73;66;73;60;70;72;77;66
Erik Berg;30;193.04;88.9;CB;Sweden;73;3100000.0;41;61;55;46;69;64;47;62;54
Rasmus Bengtsson;32;185.42;79.8;CB;Sweden;73;2300000.0;38;65;52;24;61;58;43;44;52
Fernando Martín Forestieri;29;172.72;67.1;ST,CAM,CF;Italy;73;4099999.9999999995;73;72;78;65;60;77;83;76;90
Kamil Wilczek;31;185.42;83.0;ST;Poland;73;3900000.0;75;65;68;43;61;72;64;63;68
Gojko Cimirot;26;152.4;73.9;CM,CDM;Bosnia Herzegovina;75;4800000.0;64;75;72;64;73;75;73;68;72
Ismaël Bennacer;21;172.72;64.0;CM,CDM;Algeria;83;6500000.0;69;75;73;71;71;74;70;72;73
Luca Marrone;28;185.42;74.8;CB,CDM;Italy;73;3200000.0;40;73;72;72;72;75;48;61;60
Rafik Halliche;32;187.96;81.2;CB;Algeria;73;2700000.0;34;63;46;36;55;56;50;54;54
Valentín Vada;23;175.26;71.2;CM;Argentina;79;5500000.0;67;75;72;74;72;75;61;60;75
Yves Bissouma;22;182.88;79.8;CM,CDM,RM;Mali;83;6500000.0;52;74;76;75;70;74;75;71;72
Rodrigo Salinas Dorantes;30;152.4;73.9;RB,LB;Mexico;73;2900000.0;66;75;71;61;66;72;73;73;67
堂安 律;20;172.72;69.9;RM,CAM;Japan;84;7000000.0;68;72;75;59;68;72;78;75;86
Édgar Felipe Pardo Castro;28;152.4;79.8;RM,LM;Colombia;73;4200000.0;70;68;73;66;67;74;83;81;75
Jhon Duque;26;175.26;68.0;CDM,CM;Colombia;77;4300000.0;43;72;58;39;59;69;66;66;74
David Jensen;26;195.57999999999998;92.1;GK;Denmark;76;3500000.0;13;23;14;15;26;22;48;34;38
Julián Omar Ramos Suárez;31;175.26;66.2;RM,LM;Spain;73;3800000.0;63;71;77;61;65;73;78;74;84
Darren Randolph;31;187.96;78.0;GK;Republic of Ireland;73;2400000.0;14;33;14;14;34;33;41;44;50
Stefano Sensi;23;167.64000000000001;62.1;CDM,CM;Italy;78;4500000.0;48;77;73;75;78;78;68;55;66
Andrés Ricaurte Vélez;27;182.88;69.9;CDM,CAM,CM,LM;Colombia;76;4200000.0;57;80;67;57;79;72;80;70;66
Matías Aguirregaray Guruceaga;29;152.4;78.0;RB,LB,RWB;Uruguay;73;3000000.0;38;71;70;50;63;73;74;79;69
João António Antunes Carvalho;21;170.18;66.2;CAM;Portugal;82;6000000.0;66;73;76;68;65;77;73;72;84
Arbër Zeneli;24;175.26;72.1;LM,RM;Kosovo;77;5000000.0;66;68;83;67;54;77;87;85;86
Dario Dainelli;39;190.5;78.0;CB;Italy;73;270000.0;22;56;52;31;64;55;30;33;30
Kian Hansen;30;182.88;73.9;CB;Denmark;73;3100000.0;43;70;52;43;73;70;70;67;70
Ryan Bennett;29;187.96;78.0;CB;England;73;3200000.0;18;65;27;25;63;45;36;39;30
이청용 李青龙;30;154.94;68.0;CAM,LM;Korea Republic;73;3900000.0;62;73;76;65;68;74;73;64;75
Valerio Verre;25;154.94;69.9;CM,CAM;Italy;78;5500000.0;69;75;72;68;70;74;71;70;73
권순태 权纯泰;34;182.88;84.8;GK;Korea Republic;73;2000000.0;16;35;14;12;34;24;39;47;67
Mauro Pierre Cildinho Conradi;35;172.72;64.0;RB;Brazil;73;1100000.0;44;73;74;61;66;73;81;69;83
Arnaldo Edi Lopes da Silva;36;182.88;73.9;ST;Portugal;73;1800000.0;76;59;68;71;44;69;53;64;61
Leonardo Nicolás Pisculichi;35;175.26;73.9;CAM,CM;Argentina;73;2000000.0;68;72;73;82;75;77;66;62;74
Yohan Benalouane;31;185.42;86.2;CB,RB;Tunisia;73;2700000.0;24;64;47;52;61;59;49;54;56
Antonino Ragusa;28;182.88;78.0;LW;Italy;73;4000000.0;66;74;75;51;60;76;87;88;82
Fabien Lemoine;31;175.26;69.9;CDM;France;73;2700000.0;55;73;65;60;70;69;55;44;74
Cristian Roldan;23;172.72;74.8;CDM,CM,RM;United States;79;4700000.0;63;73;70;40;70;70;71;69;77
Didier  Ndong Ibrahim;24;152.4;74.8;CDM,CM;Gabon;78;4500000.0;54;73;70;42;71;73;68;69;69
Vladimír Coufal;26;175.26;74.8;RB;Czech Republic;76;4099999.9999999995;41;66;65;37;58;69;76;74;71
Mislav Oršić;26;152.4;68.9;LM;Croatia;74;4800000.0;72;67;75;72;67;71;85;90;88
Éder Marvin Oliveira Simão;27;182.88;78.9;CB;Brazil;73;3500000.0;41;67;45;42;66;51;55;56;54
Barry Bannan;29;170.18;60.8;CM,CDM;Scotland;73;4000000.0;56;75;71;70;81;77;68;61;91
Robin Koch;22;193.04;84.8;CDM,CB;Germany;79;4700000.0;27;75;56;28;69;70;53;65;55
Nicolás Pasquini;28;175.26;76.2;LB,CM,LWB;Argentina;73;3300000.0;59;72;73;70;71;71;77;75;75
Alessandro Rosina;35;170.18;68.9;RW,CAM;Italy;73;2000000.0;68;75;74;78;74;77;75;71;85
Tim Parker;26;187.96;88.0;CB;United States;78;4500000.0;35;67;42;26;68;64;70;77;68
Marcos G. Santos Matos;23;170.18;58.1;RM,CAM;Brazil;79;5500000.0;68;73;76;64;69;74;82;78;85
Derrick Luckassen;23;185.42;78.0;CB,CDM;Netherlands;77;4400000.0;48;70;65;70;69;69;75;79;72
Shaun Hutchinson;28;187.96;79.8;CB;England;72;2600000.0;22;52;54;35;59;58;54;58;56
Bruno José Pavani Lamas;24;175.26;69.9;CAM,CM;Brazil;77;4200000.0;61;78;74;48;72;78;68;71;61
Alexandru Bălută;25;165.1;67.1;RM,CAM;Romania;75;3900000.0;66;63;73;31;62;75;88;86;88
Miguel Ángel De las Cuevas Barberá;32;175.26;68.9;LM,CM,RM,CAM;Spain;72;2400000.0;65;69;71;78;67;73;72;74;78
Leonardo B. Lohner Maia;24;182.88;83.0;ST;Brazil;73;3800000.0;68;70;72;63;64;73;68;69;67
Daniel Kolář;33;154.94;79.8;CAM,CF;Czech Republic;72;2400000.0;71;74;72;70;67;72;62;64;63
青山 敏弘;33;175.26;74.8;CM,CDM;Japan;72;2400000.0;54;73;64;60;69;74;56;55;72
Santiago Montoya;27;172.72;63.0;CAM,LM,CM;Colombia;73;3700000.0;66;71;73;61;67;71;76;78;79
Victor Emanuel Aguilera;29;187.96;88.0;CB;Argentina;72;2400000.0;40;60;52;69;57;60;50;62;33
山口 蛍;28;172.72;72.1;CM,CDM;Japan;72;3200000.0;52;76;69;46;73;76;79;76;84
Ilombe Mboyo;31;185.42;82.1;LW,ST;Belgium;72;2700000.0;70;70;77;66;68;75;68;69;67
Bruno Vinícius Souza Ramos;21;152.4;67.1;RW,LW;Brazil;81;4800000.0;55;74;76;72;65;74;84;78;77
Borna Barišić;26;185.42;79.8;LB;Croatia;75;3200000.0;45;70;69;31;67;71;77;80;70
Wilson Miguéis Manafá Jancó;24;175.26;68.9;LB,RB;Portugal;77;3500000.0;63;72;76;48;54;74;78;76;85
Christian Nørgaard;24;187.96;77.1;CDM,CM;Denmark;79;3700000.0;55;74;63;64;71;72;62;55;68
George Friend;31;187.96;83.0;LB,LWB;England;72;2200000.0;53;66;70;53;60;69;66;66;69
Davit Khotcholava;26;193.04;88.0;CB;Georgia;75;3300000.0;51;67;56;21;65;54;64;55;49
Bassem  Srarfi;21;175.26;71.2;RW,CAM;Tunisia;79;4400000.0;70;72;79;59;65;75;79;78;80
Romário Ricardo da Silva;28;175.26;68.9;ST,CAM;Brazil;72;3300000.0;70;70;78;71;63;74;86;85;87
Mateus Galiano da Costa;34;175.26;74.8;LM,RM;Angola;72;1600000.0;73;68;77;74;62;68;78;78;75
Wes Hoolahan;36;167.64000000000001;71.2;CAM,RW,LW;Republic of Ireland;72;1000000.0;63;75;72;67;71;79;59;51;69
Ramon Olamilekan Azeez;26;170.18;67.1;CDM,CM,CAM;Nigeria;77;3500000.0;51;75;63;46;68;73;73;77;74
Michael Frey;24;187.96;88.9;ST;Switzerland;78;4300000.0;76;63;64;35;57;72;64;66;60
Jean-Daniel Akpa Akpro;26;154.94;71.2;CM;Ivory Coast;74;3700000.0;65;75;71;56;67;71;77;81;77
Joan Isaac Cuenca López;27;152.4;67.1;RM,LM,RW,RWB;Spain;72;3300000.0;63;67;80;59;60;81;79;78;84
Fábio José Ferreira Pacheco;30;154.94;73.0;CDM,CM;Portugal;72;2300000.0;45;71;60;58;67;65;66;69;65
Gustavo Lucas Domingues Piazon;25;182.88;73.0;RW,LW,LM;Brazil;75;3900000.0;73;75;72;73;68;77;67;69;72
Timoteo Samuel Triano Branco;35;175.26;76.2;CDM,CM;Brazil;72;950000.0;45;76;68;61;67;59;52;51;51
Alexander Scholz;26;187.96;83.9;CB;Denmark;76;3400000.0;47;69;57;35;64;64;55;54;56
Yussif Raman Chibsah;25;152.4;78.0;CM,CDM;Ghana;75;3800000.0;58;73;69;46;68;72;76;67;81
Mark Duffy;33;175.26;72.1;CAM;England;72;2400000.0;63;74;74;67;67;71;72;68;73
Gareth McAuley;39;190.5;88.9;CB;Northern Ireland;72;425000.0;47;53;29;33;50;61;29;31;34
Nawaf Shaker Al Abid;29;167.64000000000001;59.0;LM,RM,CAM;Saudi Arabia;72;3100000.0;69;73;71;64;69;75;78;79;77
Alessandro Nuno Vaz Laranjeiras;35;182.88;78.0;CDM,RB,RM;Brazil;72;950000.0;51;72;62;62;71;61;75;70;54
Daniele Verde;22;167.64000000000001;64.0;LW,LM,RM,RW;Italy;82;5000000.0;58;68;77;73;60;78;88;84;88
Pierre-Michel Lasogga;27;187.96;88.0;ST;Germany;73;3700000.0;76;45;59;68;34;66;45;50;44
Marlon Pack;27;187.96;73.9;CM,CDM;England;72;3200000.0;52;75;68;68;75;73;49;57;64
Zinedine Ferhat;26;182.88;77.1;RM;Algeria;75;3900000.0;58;74;73;48;69;72;83;81;75
Chad Marshall;34;193.04;86.2;CB;United States;72;1300000.0;40;68;54;56;60;58;33;45;35
Jean-Christophe Bahebeck;25;182.88;76.2;ST;France;75;4000000.0;71;74;75;74;55;72;75;73;72
Róger Espinoza Ramírez;32;154.94;77.1;CM,CDM;Honduras;72;2700000.0;62;70;71;58;72;69;65;63;72
Nicolás Iván González;20;154.94;67.1;ST,LW,RW;Argentina;83;5500000.0;73;65;77;42;54;76;79;79;78
Nuno Miguel Gomes dos Santos;24;152.4;73.0;LM,LW;Portugal;77;4200000.0;57;67;76;72;62;74;82;75;77
Kasper Kusk Vangsgaard;27;154.94;67.1;RM;Denmark;72;3300000.0;69;70;71;69;68;72;75;78;81
Eugenio Lamanna;29;187.96;79.8;GK;Italy;74;2600000.0;19;35;18;17;37;24;29;33;39
Gilles Sunu;27;154.94;83.0;ST,RW,LW;France;72;3300000.0;72;70;74;53;64;73;67;74;76
Emil Berggreen;25;193.04;88.9;ST;Denmark;75;4000000.0;75;61;67;68;45;73;48;51;50
Jonathan Guillermo Nuñez Espinoza;31;154.94;81.2;LM,CAM;Argentina;72;2900000.0;66;71;73;69;69;69;75;79;76
Luciano Aued;32;182.88;81.2;CM,CDM;Argentina;72;2700000.0;52;74;72;66;74;73;54;54;61
蒿俊闵;31;152.4;78.0;CM,CDM,CAM;China PR;72;2700000.0;62;74;70;76;68;72;74;69;75
Marius Valerică Găman;30;190.5;82.1;CB;Romania;72;2400000.0;47;68;51;48;63;63;60;57;61
Jorge Pulido Mayoral;27;185.42;72.1;CB,LB;Spain;73;2900000.0;27;67;39;38;43;65;43;48;53
Abbubaker Mobara;25;175.26;68.9;RB,CB,CDM;South Africa;77;3500000.0;50;72;68;59;66;69;80;76;68
Joe Ledley;32;182.88;73.0;CDM;Wales;72;;62;73;59;53;68;74;60;53;51
Ahmet Çalık;25;182.88;77.1;CB;Turkey;77;3500000.0;42;62;58;39;64;62;65;68;52
Alberto Cerri;22;193.04;91.2;ST;Italy;80;4600000.0;75;65;68;34;45;73;54;69;60
킴진수 金珍洙;26;152.4;67.1;LB,LM;Korea Republic;73;3000000.0;26;71;68;68;62;69;79;77;78
Christian Gytkjær;28;185.42;77.1;ST;Denmark;72;3200000.0;75;58;67;56;48;70;72;70;73
이강인 Kangin Lee;18;172.72;60.8;CAM,LM,RM;Korea Republic;88;6000000.0;65;65;78;81;72;78;69;67;87
Edigar Junio Teixeira Lima;27;175.26;72.1;RW,LW,ST;Brazil;72;3300000.0;72;69;74;60;57;72;85;88;86
John Bostock;27;187.96;83.9;CM,CDM;England;73;3600000.0;71;74;71;75;76;72;66;65;71
Sergio Pellissier;39;175.26;76.2;ST;Italy;72;900000.0;78;68;68;60;44;79;34;45;55
Marcus Antonsson;27;182.88;79.8;ST;Sweden;73;3600000.0;76;63;66;31;54;63;76;82;71
Moise Kean;19;182.88;78.9;ST;Italy;87;6500000.0;75;59;73;43;38;74;75;79;75
James  Collins;35;187.96;83.0;CB;Wales;72;950000.0;38;57;38;60;64;51;30;32;27
Nyasha Liberty Mushekwi;31;187.96;81.2;ST;Zimbabwe;72;3000000.0;76;60;56;35;46;63;70;76;68
Leiton Jiménez;29;154.94;81.2;CB;Colombia;72;2400000.0;47;60;55;42;53;55;68;68;64
Delvin N’Dinga;30;154.94;69.9;CDM;Congo;72;2300000.0;50;74;59;47;70;64;70;64;70
Felix Kroos;27;182.88;78.0;CDM,CM;Germany;75;3100000.0;59;74;69;73;69;73;66;64;68
Mimoun Mahi;24;154.94;68.9;ST,LM;Morocco;76;4099999.9999999995;70;66;78;68;60;77;77;79;79
Joris van Overeem;24;154.94;71.2;CM;Netherlands;75;3900000.0;64;74;74;60;69;76;74;68;83
Alexander Esswein;28;182.88;84.8;RM,LM,ST;Germany;72;3100000.0;68;68;75;54;61;73;83;83;66
Jorge Moreira;29;175.26;77.1;RB;Paraguay;72;2500000.0;26;73;67;32;71;74;83;88;76
Jorge Pietro Carvalho Porfírio;35;187.96;79.8;CB,LB;Brazil;72;950000.0;53;67;47;54;60;65;61;60;45
Jair Pereira Rodríguez;32;182.88;81.2;CB;Mexico;72;2100000.0;31;60;54;33;54;53;46;46;40
Nino Galović;26;185.42;79.8;CB;Croatia;75;3300000.0;40;65;57;36;70;62;62;68;47
Hárold Santiago  Mosquera Caicedo;24;167.64000000000001;83.9;LM,RM;Colombia;78;4300000.0;65;71;75;46;61;72;83;81;82
Juan Pablo Nieto Salazar;26;152.4;73.9;CM,CAM;Colombia;74;3700000.0;65;80;69;62;77;74;74;71;88
Claudio Ariel Yacob;31;154.94;73.0;CDM,CM;Argentina;72;2300000.0;55;73;59;55;70;70;49;38;56
Ludovic Ajorque;25;198.12;82.1;ST;France;77;4200000.0;75;58;69;30;38;73;55;56;58
Hernán Barcos;34;187.96;84.8;ST;Argentina;72;1600000.0;70;70;72;69;68;70;63;61;58
中村 俊輔;40;152.4;71.2;CAM,CF,RW,RM;Japan;72;;63;78;70;88;77;76;32;30;75
Moussa Doumbia;24;172.72;68.0;LM,CF,CAM;Mali;78;4300000.0;67;69;76;61;64;69;84;83;83
Gennaro Tutino;22;152.4;76.2;ST,RW,CF;Italy;83;5500000.0;72;68;75;68;64;72;77;77;73
Agustín Allione;24;170.18;68.9;CAM,RM;Argentina;78;4300000.0;64;72;75;69;69;75;84;78;77
Germán Lanaro;32;185.42;83.9;CB;Argentina;72;1800000.0;15;69;40;24;69;56;41;55;57
Walker Zimmerman;25;190.5;88.9;CB;United States;76;3400000.0;52;67;42;38;66;63;56;65;47
Luca Rizzo;26;185.42;79.8;RM,CM;Italy;72;3300000.0;54;73;73;49;69;74;73;77;72
Roberto Carlos Gutiérrez Gamboa;35;152.4;76.2;ST;Chile;72;1400000.0;77;60;65;67;50;73;65;64;65
Mario Gavranović;29;175.26;76.2;ST,CAM,CF;Switzerland;72;3200000.0;69;70;73;55;58;75;79;78;81
Özer Hurmacı;32;175.26;69.9;LM,CAM;Turkey;72;2700000.0;61;71;78;70;69;75;69;71;80
Andres Tello;22;154.94;79.8;CM,RB;Colombia;82;5000000.0;55;75;75;52;69;75;87;85;76
Simon Gustafson;24;185.42;78.0;CAM,CM;Sweden;76;4099999.9999999995;70;72;71;68;70;75;67;66;68
Fabio Giovanni Ceravolo;32;154.94;73.0;ST;Italy;72;2800000.0;75;65;74;60;50;75;75;78;79
Fabricio Coloccini;37;182.88;83.0;CB;Argentina;72;425000.0;45;64;58;56;66;65;53;44;55
Gianluca Curci;33;190.5;89.8;GK;Italy;72;1800000.0;13;26;9;13;34;13;21;25;29
Daniel Martins Guimarães;31;187.96;73.0;GK;Brazil;72;1900000.0;9;31;14;19;20;21;39;40;56
Emil Hallfreðsson;34;185.42;86.2;CM,CDM;Iceland;72;;50;77;74;72;74;75;62;54;61
Miiko Martín Albornoz Inola;28;154.94;79.8;LB,LM;Chile;72;2600000.0;36;74;76;69;70;74;74;67;73
Juan Ignacio Mercier;39;185.42;78.0;CDM,CM;Argentina;72;425000.0;52;75;66;66;70;75;65;50;65
Mitchell Glenn Donald;30;182.88;74.8;CDM,CM;Netherlands;72;2400000.0;63;77;67;50;69;70;62;76;57
Mickaël Cuisance;19;154.94;73.0;CM;France;85;5500000.0;59;78;75;75;73;74;79;66;84
Amr Warda;25;152.4;77.1;RM,LM,CAM;Egypt;75;;60;71;77;74;70;72;80;78;65
Adama Traoré;23;154.94;72.1;CM,CAM;Mali;77;4099999.9999999995;52;75;75;41;70;75;67;69;64
Oliver McBurnie;22;190.5;77.1;ST,LW;Scotland;80;4600000.0;73;65;70;31;37;68;64;72;61
Dankler Luís de Jesus Pedreira;27;185.42;81.2;CB;Brazil;74;3100000.0;38;64;48;30;59;57;59;62;28
Mauro Daniel Goicoechea Furia;30;185.42;82.1;GK;Uruguay;72;2000000.0;16;26;14;23;23;18;47;52;33
Lucas  Andersen;24;185.42;73.0;CF,ST,CAM,LM;Denmark;78;4300000.0;66;69;77;62;66;78;79;84;87
Chinedu Obasi Ogbuke;32;187.96;78.9;ST;Nigeria;72;2500000.0;73;70;75;68;59;74;68;71;76
Tim Howard;40;190.5;88.0;GK;United States;72;210000.0;13;33;13;14;32;29;49;39;38
Henok Goitom;34;187.96;84.8;ST;Eritrea;72;2000000.0;69;68;68;58;61;74;56;57;52
Saîf-Eddine Khaoui;23;182.88;68.0;CAM,RM,CM;Tunisia;76;4099999.9999999995;60;74;74;74;71;75;72;72;76
Rajiv van La Parra;27;154.94;72.1;LM,LW;Netherlands;72;3300000.0;58;68;82;57;60;78;79;84;75
Adrián Marín Gómez;22;185.42;78.0;LB,LWB;Spain;81;4099999.9999999995;40;73;69;35;56;73;68;72;69
Lucas Menossi;25;170.18;69.9;CM,CDM;Argentina;77;4099999.9999999995;49;68;68;68;70;72;83;74;91
Josué Humberto Gonçalves Leal Sá;26;187.96;78.0;CB,CDM;Portugal;76;3300000.0;34;64;63;31;64;68;51;52;61
Anastasios Chatzigiovanis;21;175.26;62.1;LM,RM;Greece;79;4400000.0;63;67;76;65;65;71;82;78;76
Cristian Enzo Lodeira Araujo;27;172.72;66.2;ST;Brazil;72;3400000.0;70;62;75;65;44;72;82;81;88
Aleksandar Pantić;26;185.42;77.1;CB;Serbia;75;3200000.0;36;67;55;54;59;63;70;67;56
Jorge Luis Rojas Meza;26;167.64000000000001;69.9;RM,LM;Paraguay;73;3700000.0;63;66;74;46;60;72;91;90;83
Fabian Klos;31;193.04;93.0;ST;Germany;72;3000000.0;74;54;63;45;32;66;61;66;46
Cristian Leonel Ramírez Zambrano;24;175.26;78.0;LB;Ecuador;77;;32;70;72;41;58;71;83;79;84
John Boye;31;182.88;73.0;CB;Ghana;72;2100000.0;36;62;54;16;60;58;73;70;75
Maksym Malyshev;26;154.94;76.2;CDM;Ukraine;77;3500000.0;58;75;64;54;70;70;70;73;74
Douglas Pereira dos Santos;28;170.18;59.9;RB;Brazil;72;2600000.0;59;75;79;56;69;70;78;83;82
Kris Boyd;35;185.42;83.0;ST;Scotland;72;1600000.0;75;64;55;67;57;70;40;46;64
Diego Rodríguez;29;182.88;79.8;GK;Argentina;74;2500000.0;20;32;14;12;23;20;42;51;45
Mats  Møller Dæhli;24;152.4;71.2;LM,CAM,RM;Norway;77;4200000.0;53;70;80;61;64;80;83;73;87
Sebastian Polter;27;190.5;93.0;ST;Germany;73;3600000.0;74;55;61;42;47;64;66;75;58
Ricardo van Rhijn;27;152.4;72.1;RB,CB;Netherlands;73;2900000.0;45;69;65;77;70;70;78;82;74
Nikola Maraš;23;187.96;78.9;CB;Serbia;80;3900000.0;38;62;51;28;47;60;66;68;65
Andrés Leandro Castellanos Serrano;34;182.88;78.0;GK;Colombia;72;1300000.0;18;24;15;18;22;23;42;44;44
André Biyogo Poko;26;172.72;72.1;CM,CDM,CAM,RM;Gabon;73;3600000.0;56;70;76;50;68;74;75;73;72
Juan Ferney Otero Tovar;23;182.88;69.9;RM,ST;Colombia;79;4400000.0;76;63;70;79;69;70;89;90;81
Nicolai Møller Boilesen;27;185.42;74.8;LB;Denmark;73;3000000.0;45;69;68;40;65;70;73;73;71
Diego Lainez Leyva;18;167.64000000000001;58.1;RM,LM,CAM;Mexico;85;5500000.0;61;69;81;50;60;73;88;84;90
Yasser Al Shahrani;26;170.18;60.8;LB,RB;Saudi Arabia;74;3100000.0;48;71;67;65;66;70;87;85;80
Ismaël Tiémoko Diomandé;26;182.88;82.1;CDM,CB;Ivory Coast;76;3400000.0;47;74;67;40;66;69;63;65;66
